material_id,formula,bandgap,formation_energy,stability,volume,density,n_sites,crystal_system,spacegroup,is_stable,is_metal
mp-729172,ZrS2O9,0.187999999999999,-1.985014556666667,0.172171881041666,747.8419612340713,2.65874380202869,48,Monoclinic,P2_1/c,False,False
mp-4321,MgSiO3,4.5304,-3.211768395499999,0.019268999666670002,201.48154164904648,3.309471564110922,20,Monoclinic,C2/c,False,False
mp-776646,Na3CoO3,1.548099999999999,-1.527057084519703,0.035529923928571,384.10735304403124,3.041753682593361,28,Monoclinic,P2_1/c,False,False
mp-541067,HgNO2,2.0771,-0.563891579375002,0.08320905374999901,310.4944232346791,5.275218242335571,16,Monoclinic,P2_1/c,False,False
mp-1179964,Pt(NO3)2,0.0,-0.12670605777777802,0.639285586666667,147.8476815810361,3.58387575066183,9,Triclinic,P-1,False,True
mp-780420,Lu4Al2O9,4.5306,-3.878700977277778,0.032572675749999,784.2277722693557,7.604293878412333,60,Monoclinic,P2_1/c,False,False
mp-1185311,LiCrO3,0.0,-1.666735623666667,0.40936655516666304,49.7945631362843,3.566056855697144,5,Cubic,Pm-3m,False,True
mp-1099747,Eu2Mn2O5,0.0,-2.649234663984676,0.16811443055555803,247.05940927801112,6.63788522340357,18,Orthorhombic,Ima2,False,True
mp-17730,K2SnO3,2.1547,-1.9538010669999992,0.0,419.3559684925444,3.8790337427148343,24,Orthorhombic,Pnma,True,False
mp-625211,LiH3O2,4.8762,-1.5347990820138881,0.000740354166667,94.69517392407782,1.471716614445949,12,Triclinic,P-1,False,False
mp-1235054,Li(SiO2)6,0.0,-3.022797548596492,0.14612098423245,265.787985026794,2.295663463627398,19,Monoclinic,C2,False,True
mp-635020,Cs6Bi4O9,2.3747,-1.636907791733214,0.013020182236843002,973.9345310042578,6.060689314127582,38,Triclinic,P-1,False,False
mp-1378105,ZnBiO3,0.880799999999999,-1.511590225,0.080627896,265.9450071380185,8.051848164377654,20,Monoclinic,P2_1/c,False,False
mp-26394,Mn4(PO4)3,0.07399999999999901,-2.451236953455405,0.065842707894738,961.6757284241698,3.485657485237142,76,Orthorhombic,Pnma,False,False
mp-772954,La15Mn16O48,0.0,-2.931410197872108,0.19384864091471601,975.0491846123665,6.353262983364264,79,Triclinic,P1,False,True
mp-862794,K2Pu2O5,0.0,-2.788405569666666,0.0,158.2710033071972,6.779698712746448,9,Tetragonal,P4/mmm,True,True
mp-8231,ZrSO,0.7956000000000001,-2.821431535833333,0.025671939166665003,82.36441096716149,5.61635364914035,6,Tetragonal,P4/nmm,False,False
mp-8830,NaRhO2,1.377399999999999,-1.4591744428448281,0.0,42.850923866535034,6.118637517373269,4,Trigonal,R-3m,True,False
mp-3295373,PIrO5,0.0,-1.493553593818026,0.0,168.0733649051601,5.990897181162601,14,Monoclinic,C2/c,True,True
mp-680711,Ca4Te5O14,2.9383999999999992,-2.2974872332971,0.004682305717405,2963.9288826313345,4.581958968512729,184,Orthorhombic,Pbca,False,False
mp-996973,CuHgO2,0.0,-0.745885760625001,0.043040451874999004,59.1512951730479,8.313315928944172,4,Monoclinic,C2/m,False,True
mp-1191364,WO3,1.2648000000000001,-2.180178068333332,0.010682538229167001,362.9062354539819,6.364890166441476,24,Hexagonal,P6_3/mcm,False,False
mp-780453,Tb4Nb4O11,0.0,-3.26774425482456,0.033024965197368,1042.2049317351152,7.541509581576307,76,Orthorhombic,Pbam,False,True
mp-1244892,Al2O3,3.6741,-3.180039557699999,0.24651145029999902,1085.1543452159399,3.120490371789278,100,Triclinic,P1,False,False
mp-760003,Ti3Fe9O16,1.317399999999999,-2.160797359464286,0.029677774642856,645.9011875408713,4.63889027251891,56,Orthorhombic,Pnnm,False,False
mp-3324443,NaU5O12,0.0,-3.539339174999996,0.0,232.93310700010696,10.01690360126601,18,Monoclinic,C2/m,True,True
mp-1099805,Mg2Mn2O5,0.0,-2.335652435095786,0.15719428500002502,197.07105350988445,4.018961492471254,18,Orthorhombic,Ima2,False,True
mp-5974,La2Si2O7,4.673799999999999,-3.665370961818182,0.008581531818187,1160.3652892893851,5.105726391091916,88,Tetragonal,P4_1,False,False
mp-754041,Gd2HfO5,3.202299999999999,-3.938316614375001,0.028684817500002003,259.91921235550564,7.321254089155676,16,Orthorhombic,Cmcm,False,False
